trades,win_rate,avg_return,median_return,expectancy,profit_factor,max_drawdown,sharpe,worst_losing_streak,train_trades,train_win_rate,train_avg_return,train_median_return,train_expectancy,train_profit_factor,train_max_drawdown,train_sharpe,train_worst_losing_streak,validation_trades,validation_win_rate,validation_avg_return,validation_median_return,validation_expectancy,validation_profit_factor,validation_max_drawdown,validation_sharpe,validation_worst_losing_streak,oos_trades,oos_win_rate,oos_avg_return,oos_median_return,oos_expectancy,oos_profit_factor,oos_max_drawdown,oos_sharpe,oos_worst_losing_streak,oos_ci_low,oos_ci_high,portfolio_final_equity,portfolio_total_return,portfolio_cagr,portfolio_annualized_volatility,portfolio_sharpe,portfolio_max_drawdown,portfolio_average_positions,portfolio_max_positions_used,portfolio_accepted_trades,portfolio_skipped_trades,oos_portfolio_final_equity,oos_portfolio_total_return,oos_portfolio_cagr,oos_portfolio_annualized_volatility,oos_portfolio_sharpe,oos_portfolio_max_drawdown,oos_portfolio_average_positions,oos_portfolio_max_positions_used,oos_portfolio_accepted_trades,oos_portfolio_skipped_trades,variant_id,drop_threshold,wait_days,hold_days,min_quality_percentile,require_stabilization,neighbor_count,neighbor_positive_fraction,neighbor_oos_return_median,robustness_score
2588,0.6982225656877898,0.11574218482350333,0.09889049928723648,0.11574218482350333,4.254010937674784,-0.9999999867712495,26.2959048766876,31,1039,0.8065447545717036,0.17868966639431708,0.1698766389677665,0.17868966639431708,7.987742835193959,-0.9999999867712495,24.24546950819143,13,787,0.602287166454892,0.04666524808472212,0.046325336524902005,0.04666524808472212,1.9844676880550824,-0.9999998571699847,7.098696787973709,31,762,0.6496062992125984,0.10125546023209303,0.06974793604575868,0.10125546023209303,3.738126897212733,-0.9999112961198463,12.786467907957348,17,0.08527823709758998,0.11531970363405236,24105.12081465324,1.410512081465324,0.11767329796042758,0.2374299557740763,0.5871270067893491,-0.4003415528883507,8.098344204716508,10,269,2319,13155.197587771016,0.3155197587771015,0.11181236812171402,0.19979462020014108,0.6355427076655785,-0.31343031817059175,8.650306748466258,10,94,668,4e3bc0aec66c,-0.05,0,60,0.0,False,5,1.0,0.09277705366841442,0.99140625
2587,0.6984924623115578,0.11986753739047067,0.09626404826474932,0.11986753739047067,4.441845183725168,-0.9999999343566515,27.186616061550463,29,1039,0.8132820019249278,0.19696122654388232,0.19596747716936924,0.19696122654388232,9.510680822487465,-0.9999988783894811,26.374913951283812,9,787,0.5883100381194409,0.042679434411179606,0.03471680704232172,0.042679434411179606,1.9012783287021253,-0.9999999343566515,6.685755147312811,29,761,0.6557161629434954,0.09443612348023074,0.068860824126454,0.09443612348023074,3.4968186373782584,-0.9999177691751471,12.437338611480985,16,0.07964744093618471,0.10964144535925258,23962.22818521787,1.396222818521787,0.11689533512020556,0.2373811257985954,0.5844485219846275,-0.4056201572849719,8.102409638554217,10,269,2318,12314.209726391167,0.23142097263911676,0.08391713609306817,0.20539684704474773,0.506127321933832,-0.31359863230412155,8.663594470046084,10,94,667,8a16e2137ddf,-0.05,2,60,0.0,False,5,1.0,0.08699765384331593,0.9885416666666667
2093,0.6903965599617774,0.11495378614841559,0.09634273450690445,0.11495378614841559,4.271027177303845,-0.9999995921916416,23.677396099128288,29,807,0.8166047087980174,0.18846826192297725,0.180418718713664,0.18846826192297725,10.009365080161126,-0.9999284284408549,23.604273309647414,15,657,0.5981735159817352,0.04422622489069902,0.04576452029210365,0.04422622489069902,1.889972555693766,-0.9999995921916416,6.009792194658638,29,629,0.6248012718600954,0.09451153781176769,0.05458802499560955,0.09451153781176769,3.474547373577231,-0.9998074358127473,10.75771846256422,18,0.0768366066740272,0.11089877759860438,19165.19336549737,0.9165193365497368,0.08572962932940431,0.2279210671000657,0.47469867726807413,-0.36835200488453423,7.857501254390367,10,261,1832,12582.014468824256,0.25820144688242563,0.09283287378398297,0.19236838281825333,0.5628247241567784,-0.327334545026557,8.466257668711657,10,92,537,f06d1b9ccbf5,-0.05,0,60,0.5,False,6,1.0,0.09296035419343332,0.9877604166666667
2588,0.6982225656877898,0.11971351091586119,0.10185107647610958,0.11971351091586119,4.48931246125096,-0.9999999079091039,27.386191288595764,22,1039,0.8190567853705486,0.1958111970844676,0.19380057158982933,0.1958111970844676,9.745993114577372,-0.999999808111691,26.804924898849308,11,787,0.5959339263024143,0.045329882571988694,0.04237316908421407,0.045329882571988694,1.9523326220713313,-0.9999999079091039,6.95769886055163,22,762,0.6391076115485564,0.09277705366841442,0.06466582482912242,0.09277705366841442,3.5186870980735363,-0.9998923130842597,12.26122096283349,13,0.07936037141252202,0.10775963732500105,24849.805327792623,1.4849805327792622,0.12198137231233752,0.23726384640390444,0.6030395091856806,-0.4024482984639637,8.098344204716508,10,269,2319,12030.126016569118,0.20301260165691182,0.07405042055555722,0.202186229597334,0.45130382179541034,-0.31531331384419015,8.650306748466258,10,94,668,747d3d0318fe,-0.05,1,60,0.0,False,6,1.0,0.08955068581750218,0.9833333333333334
608,0.6924342105263158,0.12192709062846344,0.11764318414532016,0.12192709062846344,4.523005239875823,-0.9955583674523599,13.891497531158857,11,214,0.822429906542056,0.19151697283742983,0.18973642383890688,0.19151697283742983,11.796395428291314,-0.8041949566402061,14.37962288630021,6,182,0.6318681318681318,0.06261781308194003,0.061591278529110394,0.06261781308194003,2.3860915631881254,-0.9955583674523599,4.58420595442145,11,212,0.6132075471698113,0.10259715534897507,0.053020272725451845,0.10259715534897507,3.410297347327304,-0.9017031665305622,6.151406502060719,9,0.0687595718646795,0.13641521452974983,19386.70703399564,0.938670703399564,0.08818477258631474,0.19647100845908747,0.5283101970667622,-0.3263174121791794,5.683890577507599,10,187,421,12366.18616930546,0.23661861693054598,0.08679690495005965,0.18512815852735515,0.5376351190956896,-0.29306953533863955,7.278382581648523,10,78,134,de616963c744,-0.05,0,60,0.7,False,6,1.0,0.0784266228556629,0.9820312500000001
392,0.7780612244897959,0.23384444069177032,0.21932263634774973,0.23384444069177032,10.867386971251742,-0.7872541787273168,16.283160276411504,8,221,0.9095022624434389,0.3375444927236563,0.33563961776564566,0.3375444927236563,38.71596109559893,-0.5224458680540899,18.718140441832503,5,48,0.6041666666666666,0.08440428108093413,0.057473899353987834,0.08440428108093413,3.1352086941018382,-0.5857213559299603,2.98265791454149,4,123,0.6097560975609756,0.10583969404358598,0.03880535190280876,0.10583969404358598,3.4042933506751143,-0.7872541787273168,4.439250712553287,8,0.05701789689632659,0.15632163135823676,17472.50744925627,0.7472507449256272,0.07866918186112826,0.20765623011709738,0.4706469632031091,-0.3486485396041553,4.491114701130856,10,139,253,11915.86622992884,0.19158662299288398,0.07180463183777719,0.1765852960499931,0.4863692912474827,-0.21547680663518043,6.875981161695448,10,73,50,9a6c66f873e5,-0.1,1,60,0.0,False,7,1.0,0.09277705366841442,0.9778645833333334
392,0.7908163265306123,0.20911431271345876,0.19402177868394488,0.20911431271345876,8.680008001600848,-0.8024549221177497,15.002058400944938,8,221,0.9095022624434389,0.29406994972066786,0.2696473553073474,0.29406994972066786,24.590333557343513,-0.6155034085730786,16.385197418925376,4,48,0.6666666666666666,0.08395225848737838,0.09914381760135982,0.08395225848737838,2.8730774574739524,-0.6526351585014345,2.9278400337161345,5,123,0.6260162601626016,0.10531417307328514,0.04818630100656496,0.10531417307328514,3.2460774441145825,-0.8024549221177497,4.4011101646613495,8,0.06110582379437674,0.15114920077649552,15299.935996591379,0.5299935996591378,0.059407121130268914,0.21026684832276035,0.38104870563220733,-0.3584046615719654,4.491114701130856,10,139,253,10889.66176759307,0.08896617675930707,0.034291738427156826,0.17703822635178235,0.2720733871031875,-0.23954455769222938,6.875981161695448,10,73,50,22c44ea4dbb6,-0.1,0,60,0.0,False,6,1.0,0.09268055755656046,0.9755208333333334
2092,0.6897705544933078,0.11815353046635911,0.09382958016239717,0.11815353046635911,4.380090499901669,-0.9999998419553101,24.276071005450994,30,807,0.8240396530359355,0.20538912321657005,0.20229370634913646,0.20538912321657005,11.415847243507281,-0.9992140420839359,25.19074675251854,8,657,0.5829528158295282,0.04078179099885673,0.03568875008333772,0.04078179099885673,1.8230931274167426,-0.9999998419553101,5.711265797806495,30,628,0.6289808917197452,0.08699765384331593,0.05229688205321592,0.08699765384331593,3.215345537451107,-0.9997294179021221,10.368117438626712,15,0.068639633653403,0.10241981782190537,20163.104576670463,1.0163104576670463,0.09276894916726741,0.22817295109206426,0.5028404887304598,-0.3666264618657268,7.86144578313253,10,261,1831,12271.158900015691,0.22711589000156907,0.08244869511715702,0.19792673228096053,0.51050319892854,-0.3156545047971645,8.47926267281106,10,92,536,6a944dda46dc,-0.05,2,60,0.5,False,6,1.0,0.08796629214820298,0.9739583333333334
392,0.7780612244897959,0.23347415720217066,0.2099773115000455,0.23347415720217066,10.50491161476651,-0.7874465916354532,16.003001865982256,8,221,0.9004524886877828,0.34331177315275874,0.3260731825110982,0.34331177315275874,35.35477970575187,-0.7047133390283907,18.126082421219746,6,48,0.6041666666666666,0.07526084485721511,0.07574493898877444,0.07526084485721511,2.833980142592028,-0.6135774198009517,2.7610318990880134,4,123,0.6260162601626016,0.0978654244174382,0.04533753541833063,0.0978654244174382,3.208442413322632,-0.7874465916354533,4.414010179795684,8,0.05014618054514437,0.134887977376554,18428.46069468714,0.8428460694687139,0.0864946562762261,0.20325447098056768,0.5090788146733077,-0.28692887722035687,4.491114701130856,10,139,253,11605.38676019828,0.16053867601982796,0.06066839732615814,0.17962205685930568,0.41312104761359136,-0.23564707176642996,6.875981161695448,10,73,50,40fa69c97a44,-0.1,2,60,0.0,False,6,1.0,0.07603518711902635,0.971875
2093,0.6903965599617774,0.11794914025052738,0.0974456080089584,0.11794914025052738,4.431788910003092,-0.9999997912125285,24.430776631435943,21,807,0.8327137546468402,0.20536189753004308,0.20058848731090995,0.20536189753004308,12.170502769204573,-0.9997120243200517,25.90431400236643,10,657,0.589041095890411,0.04244453295016201,0.041760767067866245,0.04244453295016201,1.8449651183072593,-0.9999997912125285,5.819671669642866,21,629,0.6136724960254372,0.08466524815477362,0.047319358191099226,0.08466524815477362,3.210022891104861,-0.999773192524544,10.120608637513426,13,0.06607666384438936,0.10184691545104649,20665.163026577495,1.0665163026577495,0.09612378555926537,0.22791309274844904,0.5159092234959854,-0.3673848468938036,7.857501254390367,10,261,1832,12397.421874669073,0.23974218746690723,0.08660791638953369,0.19491226894387337,0.5201128834280327,-0.3181509300547455,8.466257668711657,10,92,537,e4315cbd9379,-0.05,1,60,0.5,False,7,1.0,0.09047175682238576,0.9708333333333334
